"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.EKBLAD","2014-2015","FLA","D",81,1766.6,12,27,39,22,1.32,0.75,53.85,1.83,1760,1300,460,57.52,10.3,87,58,29,60,18.27,80.8,58.58,22.22,57.97,11.69,15,15,0,351,11.92,9.11,0.31,7.06,100.62,66.19,35.68,30.4,53.99,30.17,46.05
"AARON.EKBLAD","2015-2016","FLA","D",78,1690.83,15,20,35,23,1.24,0.82,41.75,1.48,1520,1231,289,55.25,9.3,93,60,33,60.78,7.82,81.95,60.79,21.16,57.41,8.91,19,9,-10,324,11.5,9.81,0.35,8.24,101.92,60.39,35.8,31.18,52.08,30.95,47.13
"AARON.EKBLAD","2016-2017","FLA","D",68,1459.28,10,11,21,14,0.86,0.58,33.83,1.39,1549,1170,379,56.97,8.14,54,63,-9,46.15,-0.2,66.53,59.05,7.48,52.98,6.82,28,16,-12,408,16.78,12.03,0.49,4.44,97.21,64.51,35.12,30.87,54.64,30.87,47.02
"AARON.NESS","2013-2014","NYI","D",20,295.88,1,1,2,1,0.41,0.2,1.48,0.3,273,309,-36,46.91,-2.31,3,18,-15,14.29,-30.02,10.87,14.4,-3.53,43.02,-7.83,5,2,-3,49,9.94,1.27,0.26,4.35,91.63,50.86,24.39,27.13,48.67,29.44,50.97
"AARON.NESS","2015-2016","WSH","D",8,99.1,0,2,2,0,1.21,0,3.14,1.9,96,87,9,52.46,0.97,6,2,4,75,15.54,3.32,3.92,-0.6,45.86,-7.07,1,1,0,18,10.9,0.39,0.24,0,108.83,69.23,20.83,24.26,50.15,27.63,48.05
"AARON.NESS","2016-2017","WSH","D",2,25.67,0,0,0,0,0,0,-0.5,-1.17,16,25,-9,39.02,-11.29,0,1,-1,0,-50,0.8,0.85,-0.05,48.48,-9.13,0,0,0,1,2.34,0.02,0.05,NA,92.31,90.91,22.47,25.77,51.14,27.12,49.44
"AARON.PALUSHAJ","2013-2014","CAR","R",2,18.65,0,0,0,0,0,0,0.19,0.61,20,16,4,55.56,2.38,0,1,-1,0,-40,0.78,0.61,0.17,56.12,17.13,0,0,0,4,12.87,0.2,0.64,0,88.89,38.46,15.94,27.77,49.11,27.6,47.45
"AARON.ROME","2013-2014","DAL","D",25,327.21,0,1,1,1,0.18,0.18,1.77,0.32,291,337,-46,46.34,-8.59,14,22,-8,38.89,-17.11,12.91,15.88,-2.97,44.84,-10.46,4,2,-2,36,6.6,0.62,0.11,0,96.62,51.3,22.09,27.07,48.61,29.81,52.12
"AARON.VOLPATTI","2013-2014","WSH","L",41,301.87,2,0,2,2,0.4,0.4,-3.23,-0.64,194,292,-98,39.92,-9.15,4,7,-3,36.36,-15.11,7.01,10.1,-3.09,40.97,-7.65,13,6,-7,39,7.75,1.94,0.39,11.11,99.39,54.14,12.58,26.42,48.38,27.04,48.5
"AARON.VOLPATTI","2014-2015","WSH","L",2,19.23,0,0,0,0,0,0,0.27,0.84,14,14,0,50,3.8,0,0,0,NA,NA,0.67,0.44,0.23,60.36,16.46,0,1,1,3,9.36,0.07,0.22,0,100,44.44,16.82,27.84,51.4,27.01,53.9
"ADAM.ALMQUIST","2013-2014","DET","D",2,34.44,1,0,1,1,1.74,1.74,0.9,1.57,29,26,3,52.73,14.57,2,3,-1,40,2.5,1.72,1.53,0.19,52.92,15.14,0,0,0,3,5.23,0.15,0.26,50,94.21,39.13,27.82,30.1,52.88,29.16,48.28
"ADAM.BURISH","2013-2014","S.J","R",15,144.31,0,0,0,0,0,0,0.86,0.36,117,136,-19,46.25,-11.55,2,8,-6,20,-48.66,5.43,5.38,0.05,50.23,-11.83,3,1,-2,18,7.48,1.01,0.42,0,90.11,40.82,16.09,28.3,48.67,29.51,51.91
"ADAM.BURISH","2014-2015","S.J","R",20,222.9,1,2,3,3,0.81,0.81,-1.17,-0.31,134,279,-145,32.45,-23.87,3,13,-10,18.75,-36.54,4.54,13.33,-8.79,25.41,-32.23,10,6,-4,38,10.23,1.37,0.37,4.55,95.52,23.6,18.53,28.48,47,30.63,54.47
