"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.EKBLAD","2014-2015","FLA","D",81,1477.16,6,16,22,14,0.89,0.57,38.98,1.58,1373,1164,209,54.12,4.13,59,44,15,57.28,11.73,53.81,45.38,8.43,54.25,3.63,11,10,-1,255,10.36,4.9,0.2,4.8,100.75,61.18,36.45,28.21,49.56,28.73,49.34
"AARON.EKBLAD","2015-2016","FLA","D",78,1378.34,12,13,25,18,1.09,0.78,31.75,1.38,1119,1069,50,51.14,3.34,60,43,17,58.25,-0.47,45.94,47.1,-1.16,49.38,-0.14,15,7,-8,228,9.92,6.29,0.27,8.96,101.92,55.94,36.26,28.27,48.84,28.97,49.88
"AARON.EKBLAD","2016-2017","FLA","D",68,1193.7,5,7,12,8,0.6,0.4,22.95,1.15,1136,1061,75,51.71,1.58,32,51,-19,38.55,-8.57,41.69,46.87,-5.18,47.08,-0.64,21,13,-8,270,13.57,7.05,0.35,3.21,96.74,58.85,35.5,27.87,50.28,29.16,50.02
"AARON.NESS","2013-2014","NYI","D",20,273.02,1,1,2,1,0.44,0.22,1.58,0.35,257,288,-31,47.16,-1.03,3,14,-11,17.65,-29.63,9.72,12.86,-3.14,43.05,-7.9,4,2,-2,47,10.33,0.76,0.17,4.35,93.35,52.76,26.74,26.39,48.87,28.28,49.82
"AARON.NESS","2015-2016","WSH","D",8,97.35,0,2,2,0,1.23,0,3.14,1.94,96,86,10,52.75,1.52,6,2,4,75,17.86,3.32,3.9,-0.58,45.98,-5.91,0,0,0,18,11.09,0.39,0.24,0,108.83,67.57,25.36,24.26,50.57,27.5,47.57
"AARON.NESS","2016-2017","WSH","D",2,25.67,0,0,0,0,0,0,-0.5,-1.17,16,25,-9,39.02,-9.91,0,1,-1,0,-66.67,0.8,0.85,-0.05,48.48,-9.1,0,0,0,1,2.34,0.02,0.05,NA,92.31,90.91,24.79,25.77,51.14,27.12,49.44
"AARON.PALUSHAJ","2013-2014","CAR","R",2,17.52,0,0,0,0,0,0,0.19,0.65,18,14,4,56.25,4.2,0,1,-1,0,-50,0.78,0.54,0.24,59.09,21.3,0,0,0,4,13.7,0.2,0.68,0,85.71,38.46,17.05,27.73,48.71,27.39,47
"AARON.ROME","2013-2014","DAL","D",25,300,0,1,1,1,0.2,0.2,1.57,0.31,276,289,-13,48.85,-3.89,12,17,-5,41.38,-8.62,12.23,11.95,0.28,50.58,-1.52,3,1,-2,36,7.2,0.62,0.12,0,97.15,53.55,24.56,26.7,50.53,28.29,49.26
"AARON.VOLPATTI","2013-2014","WSH","L",41,299.49,2,0,2,2,0.4,0.4,-3.08,-0.62,191,292,-101,39.54,-9.69,4,7,-3,36.36,-14.73,6.95,10.1,-3.15,40.76,-8.45,12,6,-6,39,7.81,1.94,0.39,11.11,99.44,53.25,15.31,26.31,48.23,26.95,48.61
"AARON.VOLPATTI","2014-2015","WSH","L",2,19.23,0,0,0,0,0,0,0.27,0.84,14,14,0,50,9.15,0,0,0,NA,NA,0.67,0.44,0.23,60.36,25.77,0,1,1,3,9.36,0.07,0.22,0,100,44.44,19.14,27.84,51.4,27.01,53.9
