"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.EKBLAD","2014-2015","FLA","D",81,31.48,0,0,0,0,0,0,0.67,1.28,8,47,-39,14.55,5.51,0,4,-4,0,0,0.61,3.62,-3.01,14.42,6.27,0,2,2,4,7.62,0.49,0.93,0,86.67,6.9,7.97,34.79,10.09,43.39,86.51
"AARON.EKBLAD","2015-2016","FLA","D",78,55.09,0,0,0,0,0,0,0.42,0.46,13,74,-61,14.94,6.8,0,7,-7,0,-6.52,0.87,5.38,-4.51,13.92,5.41,0,1,1,3,3.27,0.02,0.02,0,85.42,20.45,13.39,34.94,8.96,43.66,87.85
"AARON.EKBLAD","2016-2017","FLA","D",68,52.9,1,0,1,1,1.13,1.13,1.02,1.16,17,64,-47,20.99,8.36,1,4,-3,20,6.21,0.76,4.34,-3.58,14.9,4.82,2,1,-1,5,5.67,0.19,0.22,33.33,99.82,17.14,15.19,36.28,14.48,41.93,87.66
"AARON.NESS","2013-2014","NYI","D",20,14.67,0,0,0,0,0,0,-0.1,-0.41,2,16,-14,11.11,-0.53,0,2,-2,0,-7.14,0.15,0.48,-0.33,23.81,13.26,1,0,-1,0,0,0,0,NA,80,0,16.38,33.24,16.52,45.72,88.69
"AARON.NESS","2015-2016","WSH","D",8,1.2,0,0,0,0,0,0,0,0,0,1,-1,0,-6.45,0,0,0,NA,NA,0,0.02,-0.02,0,-1.5,0,0,0,0,0,0,0,NA,NA,NA,2.63,25,10.56,24.5,90.5
"AARON.NESS","2016-2017","WSH","D",2,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"AARON.PALUSHAJ","2013-2014","CAR","R",2,0.6,0,0,0,0,0,0,0,0,0,2,-2,0,-23.08,0,0,0,NA,NA,0,0.07,-0.07,0,-17,0,0,0,0,0,0,0,NA,NA,NA,10.14,21.67,18.33,31.33,85
"AARON.ROME","2013-2014","DAL","D",25,24.54,0,0,0,0,0,0,0.2,0.49,7,45,-38,13.46,-1.88,1,4,-3,20,10,0.23,3.69,-3.46,5.87,-11.22,0,0,0,0,0,0,0,NA,97.62,18.75,22.23,31.61,13.54,47.29,88.61
"AARON.VOLPATTI","2013-2014","WSH","L",41,0.25,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.12,46.67,8,45.6,88
"AARON.VOLPATTI","2014-2015","WSH","L",2,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
