"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.EKBLAD","2014-2015","FLA","D",81,221.43,6,7,13,7,3.52,1.9,11.15,3.02,329,46,283,87.73,-0.65,22,4,18,84.62,-5.38,22.54,3.65,18.89,86.06,0.99,2,0,-2,81,21.95,3.31,0.9,15.79,97.72,93.04,54.81,41.76,87.74,36.34,12.25
"AARON.EKBLAD","2015-2016","FLA","D",78,218.35,2,5,7,4,1.92,1.1,7.02,1.93,325,40,285,89.04,0.33,21,3,18,87.5,-8.33,26.16,2.87,23.29,90.11,-1.15,2,0,-2,77,21.16,2.96,0.81,5.56,99.86,92.51,50.97,44.58,80.51,37.1,11.18
"AARON.EKBLAD","2016-2017","FLA","D",68,185.73,4,4,8,5,2.58,1.62,10,3.23,338,28,310,92.35,4.16,19,3,16,86.36,5.41,19.57,2.62,16.95,88.19,2.86,0,0,0,113,36.5,4.25,1.37,6.45,97.19,94.83,49.29,43.51,88.96,37.93,11.38
"AARON.NESS","2013-2014","NYI","D",20,5.96,0,0,0,0,0,0,0,0,10,2,8,83.33,-6.49,0,1,-1,0,-80,0.41,0.45,-0.04,47.67,-37.4,0,0,0,1,10.07,0,0,NA,50,100,6.02,38.39,90.07,37.72,10.35
"AARON.NESS","2015-2016","WSH","D",8,0.15,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,100,0.33,11.67,96.67,31.67,13.33
"AARON.NESS","2016-2017","WSH","D",2,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"AARON.PALUSHAJ","2013-2014","CAR","R",2,0.53,0,0,0,0,0,0,0,0,2,0,2,100,19.05,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,6.36,34.27,88.26,30.99,13.15
"AARON.ROME","2013-2014","DAL","D",25,1.27,0,0,0,0,0,0,0,0,2,0,2,100,10.93,1,0,1,100,0,0.22,0,0.22,100,13.29,0,0,0,0,0,0,0,NA,NA,66.67,0.89,24.26,80.28,28.99,11.05
"AARON.VOLPATTI","2013-2014","WSH","L",41,0.82,0,0,0,0,0,0,0,0,1,0,1,100,13.22,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,100,0.36,11.93,65.75,38.84,14.68
"AARON.VOLPATTI","2014-2015","WSH","L",2,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"ADAM.ALMQUIST","2013-2014","DET","D",2,1.65,0,0,0,0,0,0,0,0,3,0,3,100,33.33,0,0,0,NA,NA,0.26,0,0.26,100,95.56,0,0,0,0,0,0,0,NA,NA,0,47.14,33.18,88.18,29.55,17.27
"ADAM.BURISH","2013-2014","S.J","R",15,2.05,0,0,0,0,0,0,0,0,3,0,3,100,13.16,0,0,0,NA,NA,0.03,0,0.03,100,17.54,0,0,0,0,0,0,0,NA,NA,100,2.34,32.44,85.49,42.07,12.32
"ADAM.BURISH","2014-2015","S.J","R",20,1.31,0,0,0,0,0,0,-0.01,-0.46,0,1,-1,0,-89.71,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,0,1.31,29.09,81.75,27.76,13.31
"ADAM.CLENDENING","2014-2015","CHI/VAN","D",21,43.66,1,2,3,2,4.12,2.75,2.04,2.8,62,7,55,89.86,-1.68,4,0,4,100,0,5.07,0.21,4.86,96.02,-1.25,1,0,-1,10,13.74,0.35,0.48,50,110.81,88.89,37.48,38.75,86.44,36.84,12.58
"ADAM.CLENDENING","2015-2016","PIT/EDM","D",29,23.24,0,0,0,0,0,0,0.2,0.52,27,5,22,84.38,-6.31,0,0,0,NA,NA,1.14,0.37,0.77,75.5,-15.41,0,0,0,7,18.07,0.25,0.65,0,100,75,15.87,38.19,82.74,35.94,10.53
